L0_S0_F0,L0_S1_F1,L0_S2_F2,L0_S3_F3,L0_S4_F4,L0_S5_F5,L0_S6_F6,L0_S7_F7,L0_S8_F8,L0_S9_F9,Id
0.7194170072214631,0.5568144356066712,0.8916471918821417,0.9125968621955074,0.6539900200010597,0.5823775426563598,,0.45512986690706736,0.41892758591860824,,1
0.4213932168948603,0.6015062639921273,0.7504938436676722,0.1485479160255132,0.8166797985041562,0.7375020770551252,0.6270503105731444,0.39547777089667346,,0.6742707037499416,2
0.5689447100437133,,0.21375309499112782,0.5542801988279149,0.9015320385151948,0.9753784833079064,0.7219198519546521,0.8760009450883643,,,3
0.647840900790239,0.4386751537704262,0.8903121977858023,0.5327008883415217,0.46159663790799454,,0.9098405764754397,0.93383566653092,0.43083262733775773,0.7312761096599509,4
0.8559295543191164,0.7244931700181187,0.37911503270089775,,0.521267654657627,0.4702468895547489,0.09092232868908001,0.5704960064424729,,,5
0.5480479890921738,0.8822706308778212,0.4870680718294139,0.7057418874300609,0.8658797616353806,,0.4298692591354225,0.8802335074221624,,0.06558835095842375,6
0.7296568254069137,0.8247447571968423,0.3982436485627149,0.26583946058271735,0.2144034358606749,0.30028205063519653,0.8080642144903327,,0.1705023389052729,0.2324783083591695,7
,0.04544683979885955,0.5498130688510391,0.6247307415534873,0.8624653983873274,0.7218458849995945,0.5484529770513965,0.4607466136943338,,0.22744654679117193,8
0.043789277343424415,,0.5142458401928183,0.03584505893909262,0.18600060276239394,0.11588841088048663,0.6531139624195061,0.2918798058870147,,,9
,0.5186601527187591,0.7415761189170162,0.6305584033368897,0.6337470870545807,0.5552214117133745,0.7806106381537827,,,,10
0.6664387310040715,0.5512542128622719,,0.8517201216754194,0.4126732929266228,0.2644469601261028,0.8919595577276798,0.8263873545105888,,,11
0.2059061022467088,0.7583779780452683,0.17551461358071785,0.6264006192719007,0.6357153691874553,0.8616811535429005,0.6911079099254183,0.4755525564571449,,,12
0.2228587219822662,0.4072909086278418,0.1729263429390414,0.5136135996812276,0.08558605495997695,0.6484277263334779,0.03167060035037328,0.5246127497417284,0.12256678408362087,,13
0.8490791295687948,0.37498437600112344,0.7054532025372887,0.8256428290893992,0.803158038476901,0.1479155481690917,0.12926318234017609,0.4320237928401177,0.5235940568792942,,14
,0.7589212386629794,0.23994232170662544,0.05786383871477285,0.8686965189384533,0.90068903864371,0.2588693780822132,,0.7869445342308834,,15
0.3936272883749927,0.4830585444456089,0.1446085591182299,0.9398808893764943,0.6059343747661803,0.953829665255589,,0.9558952692975472,0.5647380619175603,0.6423247119839726,16
0.4867576342721799,0.5858261965722431,0.46135006712875115,0.11807614519791709,0.40429707221654865,0.8127646071146452,0.49756275272801354,0.6950035556882213,,,17
0.5237511898629535,0.40995250296020325,0.8076371850266216,0.06214035883783264,0.4518032004057424,0.2733258362254414,0.12696638025899853,0.49588993783283286,,,18
,0.5161496163736408,0.040345001889275034,0.36611419905853637,0.3320062254159192,0.35760116529225894,,,0.576079357322096,,19
0.026615628274137437,0.9817862269153618,0.7796961833329827,0.15092366926427825,0.21286888268371662,0.3882674287204292,0.05295172774144552,0.27044515409527603,0.49069303364282035,,20
0.01699044365010738,0.2869369200036631,0.7606365509221902,0.5615637117234284,0.9581591860831933,0.809537339332972,0.6994674358541583,,0.37506980744776497,,21
0.11511232573562236,0.7715015397027043,0.7230805420999958,0.4912364741707608,0.8193695129904065,,,0.7713078058554661,0.07957872535591637,0.5045639759769168,22
0.7509261051638662,0.7782550854675737,0.308420441902433,0.7790617492391625,,0.3002710918356125,0.9915767354433564,0.09455783602822754,0.4523164383553375,0.3776202140894207,23
0.1855082651525053,0.9668721333419583,,0.4472951557953698,0.7398811428922074,0.09142181666078752,0.47423272640982994,,,,24
0.23154785288808444,0.3291536785349045,0.041849023667757224,0.8531357570862247,0.36992947627330763,0.07576766161183468,0.8087638612904562,0.28623746466601696,,0.15729486233657897,25
0.6011235079329366,0.23428424820039484,0.9876039520742714,0.6742737357057268,0.34455480311992626,0.23709599000265802,0.15609895878788327,0.689331847534998,,0.07048720260840202,26
0.2948625643969919,0.9238999614335837,0.23706481068310092,0.7822924691554661,0.9640953752166315,0.787287856484479,0.006733038774149214,0.1220014569292015,0.645447871936424,0.31973170582846266,27
0.4370317101009241,0.8058001031234816,0.38812247370665154,0.972139966300979,,0.8952510886206193,0.802143079678826,0.15516147863085705,0.8246048494599014,,28
0.21538266083363622,0.7616278837773971,0.8285617609770748,0.2759762541829478,0.3589303399219095,0.919248333191797,0.22790886620445794,0.8099532054397398,,0.8194731465214706,29
0.11120984813043133,0.8398163130926397,0.3346942945662187,0.39713198329780885,0.6630287869620802,0.2601536838067292,0.5444553068958436,0.12178043351584378,,,30
0.8086292686710701,0.6173029105770416,0.5650985612118264,0.5519840985141142,0.5969748403348895,0.807460094278082,0.1791780027881702,0.4800477623668421,0.48710453600902504,,31
0.7205830824096287,0.6756688024569445,,0.8565357579773438,0.7027567387253517,,0.143424350223329,0.3241067252557961,,0.13256812575570287,32
0.6739113883026692,0.7719057116290812,0.32048248295606396,0.8648033212485362,0.8898992363287752,,0.08856061503049018,0.5190904702896082,0.4181678813714592,,33
0.11322713173080756,0.8749323209716806,0.3313980749246723,0.14538633956863223,0.24434088026380796,0.011584526182012445,0.5684719435708077,0.6805073747341425,0.9833268506484987,,34
0.021923242418371958,0.7079358761981347,0.9426156409221387,0.23754667230303073,0.5745575937143071,0.6189216237516569,0.7611436696203382,0.5786540305256089,0.3886234437117211,,35
0.6854052711019342,0.11672689718905904,0.2074409582087795,0.9022521277964525,0.7275568883965892,0.7738069681937763,0.13739916478978276,0.4239912127076142,,,36
,0.46271227722874697,0.2573052455060858,0.42240937159437664,0.18540739232622094,0.7199029206071084,,0.98840014687127,0.655022403460806,,37
0.9839078749264758,0.7410118958002772,0.9255284504209546,0.9978193892862414,,0.20014734246236054,0.2485452660865063,0.7218683460653751,,0.7034753270543612,38
0.8209997512173696,0.15573067873357405,0.5185336714929948,0.32489819655341934,0.5521897759287767,0.10225674131208695,0.3660159898502954,0.8582402757235668,0.7792477632495522,,39
0.049527091567013515,0.17538458024834092,0.9842370250746608,,0.765473827426762,,0.29316656431142873,0.30552422526094924,,,40
0.8779725191281782,0.9985998099218016,0.9285430452317133,0.5843302403114081,0.9576594563542119,0.3539215581531976,0.7190820895956173,,,,41
0.2128627757306374,0.7135166301357262,0.989875487265804,0.8550501923098839,0.6772534143079026,0.26590940494386217,0.7545182882165712,0.8776189979085233,,,42
0.6948126275688393,0.14592045686458122,0.9474185382444861,,0.7159450518726429,0.5942898001695778,0.6698331810585861,0.33385041545775795,0.4408161099876362,,43
0.07063491839033254,0.09187709117765797,0.7478799410497965,0.24142784444761234,0.6271504311818465,0.4360989030529615,0.5801520074264563,0.9424545072352785,,0.5260123768632236,44
0.9504477673310038,0.41235116197085053,0.9837578975693155,0.8399266094750546,0.14143117031196129,0.5669536496210706,,0.4519259962986103,0.3546340760463166,,45
0.8625364171816959,0.41035275719795405,0.830402960789071,0.3399256631977178,0.45427443741152074,0.5143853272658098,0.0767253943970112,0.24803448879741863,,,46
0.9349045808660947,0.8764145669458501,0.7326987974015493,0.6716931316520756,0.2737848982146672,0.7595410862048785,0.55162419966443,,,,47
0.391083080799314,0.24278328041275932,0.34113508727355335,0.5154308855620059,0.5322601376086739,0.6457758815638657,0.4133675410844204,0.7787469675624985,0.2017134019896003,,48
0.30657684233223326,,0.027800986233574854,,0.18941077181663424,0.1979235475555976,0.513207042496463,0.17697889766503794,,0.011263408188970647,49
0.2710643761751117,0.6338144086253109,0.8521437927102223,,0.166268920811662,0.11460151301662469,0.5913921607673114,0.7298384605236535,0.7551463963296662,,50
0.31865059613117497,0.14153569148579948,0.4262570765605278,0.10112715344680201,,0.3270810832550872,0.7442701145082731,0.8467708821935359,,0.6363470016441636,51
0.44476547705248093,0.6070913703386714,0.20355448162804035,0.39138081178916295,0.8591877434009472,0.9539128227717291,0.35352926491656156,0.6139491434029384,,,52
0.018663480349136785,0.14120208443514115,0.7381304621176947,0.2789436339672996,0.15627563968774394,,0.15272374730632376,0.9861488806602914,0.3970551250199895,0.9024847707852783,53
0.3094631508373412,0.3352879970619457,0.05233819257105432,0.08721322906605633,0.9095192683951567,0.676175277501884,0.4692805989456583,0.3412791153969248,0.13902119681887137,0.4318845295085251,54
0.5853370160401017,0.2031193853040799,0.09106351665010393,,0.1799107662396856,0.5185847296822224,0.3599556309608982,0.3203618857372136,0.7197230771653936,0.31261236922993196,55
0.44435024557229474,0.4211462894677095,,,0.03860412600525365,0.7718636637342529,0.23920412434093974,0.23483733087045722,,0.9586093526881132,56
0.7203444640239403,0.5966146462836549,0.4349886525512191,0.23188226477093787,0.5883823139043965,0.5205474830286247,0.6763198680488287,0.4954401791088018,,,57
0.09127171802571055,0.48141404060481996,0.8751989430297729,0.661473382661033,0.6757227687217073,0.5038123615638489,0.8016107228866317,0.7300866519202662,0.6161771412424287,,58
,0.2704035961402719,0.3113259018268809,0.7484742520646241,0.12219997062706711,0.5711218969004457,,0.40030696499916607,0.9609901771084356,,59
0.6956363117813711,0.7245107299567085,0.8753771927024231,0.9432119244498195,0.197972939966091,0.302911445770389,0.9873635128960631,0.8939712897517924,,,60
0.7796571941280915,0.4958202428862669,0.9241489600177761,0.4093024746285434,0.851432601057536,0.038315951619817046,0.24777263366034963,0.8693223672044919,,0.33013030728502557,61
0.24480644496039505,0.08603940548466893,0.19752174028745206,0.9024995032059646,,0.3469018893107565,0.9802877305330794,0.21576649354530397,0.15406884566045598,0.5295178088265735,62
,0.9812675502934429,0.2548371883382007,0.760814432998905,0.7680815066879676,0.887601288334252,0.48277927712560165,0.9423480324231563,0.38215862968772774,,63
0.8409869004750741,0.09878894112874204,0.8409194771545144,0.3599688935582802,0.2566682031827723,0.5637802435766676,,0.49288350052553476,0.735926557692121,0.16054644303577703,64
0.09247502046761691,,0.09703809751244752,0.31357408909028495,0.8075082847367194,0.6672550918855704,0.9863718328662378,0.6039432840662894,,,65
,0.4173912313501643,0.2285098515868299,0.6646657070140034,0.11322296743587545,0.8015142463274285,0.9749611600291456,0.32534384608869105,0.08565254240379705,,66
0.5104746978772755,,,0.8613207867046465,0.06861262916217081,0.328117663964239,0.3818102443570802,,0.38400657566442753,,67
0.33841496819259265,,0.5299681313650141,0.6712300265137094,0.5084695675968578,0.3601090332816562,0.7731070826021406,0.2970253436941499,,,68
0.7133650946965608,0.1849515257455221,0.13541719678675512,0.845223821206398,0.2942184698739906,0.24985133714131091,0.0310458306503838,0.8122086819285468,,,69
0.005547189253732321,0.1161394552654651,0.051686713769337644,0.5700362763844603,0.6733129352906836,,0.752040450102616,0.4389225132995388,,0.07562947386586738,70
0.02297573821250576,0.42035445443923103,,0.7051758780786683,0.5483959211749067,0.9745128753621732,0.4169319735603614,,,,71
0.5210901544872513,,,,0.5228500250147864,0.3453824757788617,0.5784889506632833,0.5078063724863606,0.4546195146529375,,72
0.5757317691964853,0.47117695620364064,0.18298853100824874,0.3825945802009344,0.8194699768940173,0.6538119656626873,0.446974438623844,0.5975882019178765,,,73
0.5189637805922722,0.9234534563196098,0.2849692892549226,0.3534737649579165,0.31007936057273544,0.011580525637293948,0.8304294435232298,0.36354669112286075,0.9032873255972583,0.8399165430494598,74
0.5006769234766705,0.3177928373828377,0.676297595077885,0.6544880084418896,0.16091053060325144,0.46808008604329676,0.8706383514760299,0.4934395367361335,0.2810600132783774,0.9837454088479749,75
